,name,artist,meaning,lyrics
144,cloud 9,beach bunny,love,I don t wanna seem the way I doBut I m confident when I m with youLately  all I feel is bad and bruisedTired of tripping on my shoesBut when he loves me  I feel like I m floatingWhen he calls me pretty  I feel like somebodyEven when we fade eventually to nothingYou will always be my favorite form of lovingWhen I start to tumble from the skyYou remind me how to flyLately  I ve been feeling not aliveBut you bring me back to lifeBut when he loves me  I feel like I m floatingWhen he calls me pretty  I feel like somebodyEven when we fade eventually to nothingYou will always be my favorite form of loving
145,pretty boy,the neighbourhood,love,OohNo  noOohNo  noEven if my heart stops beatingYou re the only thing I need  ooh  with meEven if the Earth starts shakingYou re the only thing worth taking  ooh  with meEven if the sky s on fireGot you here  it s alright  ooh  with meAnd if it s all overI m taking this moment  ooh  with meYeahPretty boy  you did this with me  boyNow it s all about to endBaby girl  look where we made it  girlHmm  now we re fallingAs long as I got youI m gonna be alrightAs long as I got you  yeahI m not afraid to dieI m alright
146,this love,taylor swift,love,Clear blue waterHigh tide came and brought you inAnd I could go on and on  on and on and I willSkies grew darkerCurrents swept you out againAnd you were just gone and gone  gone and goneIn silent screams and wildest dreamsI never dreamed of thisThis love is good  this love is badThis love is alive back from the dead  oh oh  ohThese hands had to let it go free  andThis love came back to me  oh oh  ohOh oh  oh  oh oh  ohTossing  turningStruggled through the night with someone newAnd I could go on and on  on and onLantern  burningFlickered in my mind  only youBut you were still gone  gone  gone
147,crushcrushcrush,paramore,love,I got a lot to say to youYeah  I got a lot to sayI noticed your eyes are always glued to meKeeping them here and it makes no sense at allThey taped over your mouthScribbled out the truth with their liesYour little spiesThey taped over your mouthScribbled out the truth with their liesYour little spiesCrush  crush  crush  crush  crushNothing compares toA quiet evening aloneJust the one  twoI was just counting onThat never happensI guess I m dreaming againLet s be more thanThis
148,love like you,caleb hyles,love,If I could begin to beHalf of what you think of meI could do about anythingI could even learn how to loveWhen I see the way you actWondering when I m coming backI could do about anythingI could even learn how to loveLike youLove like youI always thought I might be badNow I m sure that it s true cause I think you re so goodAnd I m nothing like youLook at you goI just adore youI wish that I knewWhat makes you think I m so specialIf I could begin to doSomething that does right by youI would do about anythingI would even learn how to love
149,lucky ones,lana del rey,love,Let s get out of this town  baby  we re on fireEveryone around here seems to be going down  down  downIf you stick with me  I can take you higher and higherIt feels like all of our friends are lostNobody s found  found  foundI got so scared  I thought no one could save meYou came along  scooped me up like a babyEvery now and then  the stars alignBoy and girl meet by the great designCould it be that you and me are the lucky ones Everybody told me love was blindThen I saw your face and you blew my mindFinally  you and me are the lucky ones this timeBoy  get into my car  got a bad desireYou know that we ll never leave if we don t get out now  now  nowYou re a careless con and you re a crazy liar  but babyNobody can compare to the way you get down  down  downI tried so hard to act nice like a ladyYou taught me that it was good to be crazy
150,paper rings,taylor swift,love,The moon is highLike your friends were the night that we first metWent home and tried to stalk you on the internetNow I ve read all of the books beside your bedThe wine is coldLike the shoulder that I gave you in the streetCat and mouse for a month or two or threeNow I wake up in the night and watch you breatheKiss me once  cause you know I had a long night Kiss me twice  cause it s gonna be alright Three times  cause I waited my whole life I like shiny things  but I d marry you with paper ringsUh huh  that s rightDarling  you re the one I want  andI hate accidents except when we went from friends to thisUh huh  that s rightDarling  you re the one I wantIn paper rings  in picture frames  in dirty dreamsOh  you re the one I want
151,that way,tate mcrae,love,Run me in circles like you always doMess with me on purpose  so I ll hang on to youI know what you mean when you act like thatBut you don t know it s breaking my heartSaid that it was just never gonna happenThen almost kissed me in the darkEvery time we talk  it just hurts so bad Cause I don t even know what we areI don t even know where to startBut I can play the partWe say we re friends  but I m catching you across the roomIt makes no sense  cause were fighting over what we doAnd there s no way that I ll end up being with youBut friends don t look at friends that wayFriends don t look at friends that wayCan t even tell if I love or hate you moreYou ve got me addicted and I can t tell who s keeping scoreI know what you mean when you act like thatBut you don t know it s breaking my heartSaid that it was just never gonna happenThen almost kissed me in the darkEvery time we talk  it just hurts so bad Cause I don t even know what we areI don t even know where to startBut I can play the part
152,i wanna be yours,arctic monkeys,love,I wanna be your vacuum cleanerBreathin  in your dustI wanna be your Ford CortinaI will never rustIf you like your coffee hotLet me be your coffee potYou call the shots  babeI just wanna be yoursSecrets I have held in my heartAre harder to hide than I thoughtMaybe I just wanna be yoursI wanna be yoursI wanna be yoursWanna be yoursWanna be yoursWanna be yoursLet me be your  leccy meterAn  I ll never run outLet me be the portable heaterThat you ll get cold withoutI wanna be your setting lotion Hold your hair in deep devotion At least as deep as the Pacific OceanI wanna be yours
153,hot rod,dayglow,love,Sloan  let s sing a song  what should we sing My memory is not like the other oneTurn to strike my faceAlways second placeTell me again  Why is it INever can do anything right Complicated theories of life  sarcasticallyBut we both knowThe way it s gonna goIn the same wayMaybe I m not all that you thoughtAnd we don t moveLike we used to doIn the same wayMaybe you re not such a hot rodTake back again all that I ever wasIt was only just a phaseI never thought of it that wayBut what do I knowI m sorry forNot wanting to be your décorTruth is such a violent force  pushing you away
154,dontmakemefallinlove,cuco,love,I don t think I m meant to be with youI don t wanna make you sadAll the time just feeling badGirl  don t make me fall in love with youI don t think I m right for youI m just disappointing youLonely nights like these you just stumble in my headAnd I m wondering what you re doingAnd why maybe I m not deadThe thought of you still kills meI know I m a stupid guyLooking back at my mistakes  I fucked up a million timesI couldn t see the dayI never called somebody mine Cause every single heartbreak made me lose my fucking mindI guess I was too blindGirl  I see that you were right for meI had to fuck it up  I m sorry this is not goodbyeI let this so called fame get deep into my headAnd I d end up doing thoughtless thingsThat I soon would regretI made you feel specialAnd I should ve felt the same Cause I had you by my sideHow could I have been this way
155,falling for the wrong one,dreamer boy,love,Summer s almost overI would ve thought she d find me outFind me outBy now we were at the partyOh  you like to talk about yourselfTalk about yourselfI was optimisticBut you wanna bring me downBring me downWell  you were on your cell phoneGuess I m not myself for the nightSelf for the nightFalling for the wrong oneIt s not me  it s youPicking up the piecesBreak your heart in twoFalling for the wrong oneIt s not me  it s youPicking up the piecesBreak my heart in twoHey there  pretty ladyWell  do you wanna go out tonight Out tonightWell  you re still getting readyBut do you know our friends are waiting for us Friends are waiting for usYou re callin  for a taxiYou re so impatient to find a rideFind a rideBut you re so complicated I don t think I ll ever find anotherEver love another
156,scrawny,wallows,love,Used to be level with all my friendsStill wear the same shoes I did back thenI don t think they ve ever been untiedI can t regret the things I don t tryI d switch it up  but I don t like changeOnly content if things stay the sameDon t care to watch the story unfoldHate feeling like I m not in controlI ve been sleeping with the light onI tend to freak myself outWill you come a little closer nowAnd tell me I m aScrawny motherfucker with a cool hairstyleScrawny motherfucker with a cool hairstyleScrawny motherfucker with a cool hairstyleI m a scrawny motherfucker with a cool hairstyleI say the wrong shit at the right timesIf I m offending them  I don t mindMaybe they all should listen to meIt isn t all about what you seeQuestion though  how do I look to you Am I so thin that you can see through 
157,sports,beach bunny,love,If you feel lonelyI could be lonely with youTell me  babyWhy do you seem so blue Why are we so complicated Maybe love is overratedI m tired of waitin I was never good at sportsSave the games for the girls on the tennis courtSay you need meBut lately  you feel unsureCome on to me  come on to meI need moreIf you feel brokenPromise I won t break your heartIf you shatterI won t let you fall apart
158,captivated,iv of spades,love,You re the one that I want to be withNever want to be separatedI m captivatedEveryone says you re complicatedEvery day you re my most awaited  ohI m captivatedOh  they don t see you as I doYou are so beautifulCome breathe within my soulLet goOh my loveYou don t have to listen to a word they say Cause all that really matters is that I love youI really doOh  I need you and I really hate itBut I ll never get tired of waitingI m captivatedOh  they don t see you as I doYou are so beautifulCome breathe within my soulLet go
159,we find love,daniel caesar,love,You don t love me anymoreLet s see how you like this songSee you walking out that doorWonder why it took you so longEver since the day that I met youI knew you were the girl of my dreamsBut we could never beYou don t love me anymoreLet s see how you like this songWe find love  we get upThen we fall down  we give upWe find love  we get upThen we fall down  we give upYou don t love me anymoreLet s see how you like this songYou need someone you adoreFind a place where you might belongEver since the day that I met youMy world s been spinnin  out of controlI just need you to hold
160,i love you so,the walters,love,I just need someone in my life to give it structureTo handle all the selfish ways I d spend my time without herYou re everything I want  but I can t deal with all your loversSaying I m the one  but it s your actions that speak louderGiving me love when you are down and need anotherI ve got to get away and let you go  I ve got to get overBut I love you soI love you soI love you soI love you soI m gonna pack my things and leave you behindThis feeling s old and I know that I ve made up my mindI hope you feel what I felt when you shattered my soul Cause you were cruel and I m a foolSo please let me goBut I love you so I love you so I love you so I love you so
161,loving is easy,rex orange county,love,Loving is easyYou had me fucked upIt used to be so hard to seeYeah  loving is easyWhen everything s perfectPlease don t change a single little thing for meListen  girlWhen you can t even hide itAnd it didn t take forever to find itI was all on my ownAlmost glad to be aloneUntil love came in on time  on timeSo loving is easyYou had me fucked upIt used to be so hard to seeYeah  loving is easyWhen everything s perfectPlease don t change a single little thing for meOh  ohAh  ahOh  ohAh  ah
162,the good ones,gabby barrett,love,He s a phone call to his parentsHe s a Bible by the bedHe s the T shirt that I m wearingHe s the song stuck in my headHe s solid and he s steadyLike the Allegheny runsHe knows just where he s goingAnd he s proud of where he s fromOne of the good onesHe s one of the good onesA love me like he should oneLike he wrote the book oneThe kind you find when you don t even look oneAnybody can be good onceBut he s good all the timeHe s one of the good onesAnd he s all mineHe s one of the good onesYou ll know him when you see himBy the way he looks at meYou d say he hung the moonI d say he hung the galaxyNobody does it betterOh  the way he pulls me inI ve known a couple bad onesBut they all led me to him
163,closer to you,carly pearce,love,I got a fast car  gassed up  sittin  in the drivewayGot a road that I know like the back of my handWe could head out right now  baby  we could fly awayAnd disappear outta here fast as we canOoh  I miss you  babyOoh  I m going crazyThere s a diamond sky that s waitin  for us just outside of townWith the moon hangin  for me and you  babyWe can cut the headlights out when there ain t no one else aroundKill the space in between  slide across that leather seatHeart to heart  face to face  you know all I wanna doIs get closer  closer  closer to youCloser to youWanna taste that great wide open freedomWanna make the distance razor thinWanna feel you feel me feel you breathing Til we can t tell where you end and where I beginThere s a diamond sky that s waiting for us just outside of townWith the moon hangin  for me and you  babyWe can cut the headlights out when there ain t no one else aroundKill the space in between  slide across that leather seatHeart to heart  face to face  you know all I wanna doIs get closer  closer  closer to youCloser to you  oh
164,made for you,jake owen,love,Water towers are made for hearts and namesFriday nights are made for football gamesFallin  leaves are made for fallin  inFront porch steps are made for goodnight kissin And I was made for you  yeah I was made for youSummer jobs are made for spendin  cashSecond dates are made for goin  fastEarly curfews are made for sneakin  past2 a m  was made for pissed off dadsAnd I was made for you  yeah I was made for youLike a ship without a seaOr a song without a melodyI don t know where I d be or what I d do Cause I was made for youSmoky bars are made for  How  bout a dance  Open roads are made for holdin  hands andLaid back seats are made for young loveTwo pink lines are made for growin  upAnd I was made for you  yeah I was made for you
165,forever after all,luke combs,love,A cold beer s got twelve ouncesA good truck s got maybe three hundred thousandYou only get so much until it s goneDuracells in a MagliteA needle drop on a forty fiveAre the kinda things that only last so longWhen the new wears off  and they get to gettin  oldSooner or later  time s gonna take its tollThey say nothing lasts foreverBut they ain t seen us togetherOr the way the moonlight dances in your eyesJust a T shirt in the kitchenWith no make up and a millionOther things that I could look at my whole lifeA love like that makes a man have second thoughtsMaybe some things last forever after allThe FM station on the outskirtsBlue jeans after years of shift workAll fadin  out like I always knew they wouldThe strings on this guitarThe first love lost on a young heartThose things are gonna break after the getting s good
166,take my name,parmalee,love,Take my hand  let me make you mineI m through waitin   takin  my timeNever felt like this beforeTake my name and make it yoursI hope you don t think it s a little bit crazySayin  this all so soonBut baby  it s the right time  knew it from the first timeThat I laid eyes on youIt s okay  let  em say what they wantThey might think I should wait  but I don tNah  I don t wanna waste a minuteGirl  I want you in every single part of my worldSo take my hand  let me make you mineI m through waitin   takin  my timeNever felt like this beforeTake my name and make it yoursI know I m the last guy anybody think mightEver be talking like this  yeahBut I can see my future in your eyes tonightAnd taste forever on your lipsI m like hold up a minute  don t goAin t no way I can take this slow  soGo ahead and tell me I m outta my mindOr baby  just tell me yes
167,somebody like that,tenille arts,love,I ve seen pick up lines and dive bar strangers slow danceI ve seen happy hour 2 for ones turn to one night standsI ve seen neon reboundsAnd late night drunk dialsI ve seen that Cinderella fairytale go up in cigarette smokeI ve seen two hearts bet it all and still end up brokeThe real thing won t be easyYeah  might take a whileBut I want that all in  fallin Keep the fire burning like the first time feelingNo matter what if I m gonna loveI m gonna love somebody like thatKinda heart open armsSays forever and will never ever take it backIf I m gonna loveI m gonna love somebody like thatI still remember mama walking down the living room stairsAnd daddy saying with a smile that s my girl right thereThey had their share of ups and downsAnd I saw the best  and the worst  and the work and the worth it
168,nobody,dylan scott,love,Baby  I see them boysThey always lookin  at youBut I ain t causin  a scene Cause girl  I m the one that s with youThey can shoot you a wink  they can buy you a drinkTry to steal your attentionThey can talk a big talk  they can walk a big walkBut I know you ain t going home with  emGirl  nobody  nobody  nobody gonna love you like I doYeah  nobody  nobody  nobody gonna love you like I doI ma love you  til the good Lord comes back for me and youGirl  nobody  nobody  nobody gonna love you like I doI know how you like your coffeeAnd how hot you like your bathI know what makes you angryAnd what makes you laughI know the taste of your lips  every inch of your skinThe little things that turn you onI know that look in your eyes when they look back at mineSaying baby  take me home
169,the bones,maren morris,love,We re in the homestretch of the hard timesWe took a hard left  but we re alrightYeah  life sure can try to put love through it  butWe built this right  so nothing s ever gonna move itWhen the bones are good  the rest don t matterYeah  the paint could peel  the glass could shatterLet it rain  cause you and I remain the sameWhen there ain t a crack in the foundationBaby  I know any storm we re facingWill blow right over while we stay putThe house don t fall when the bones are goodCall it dumb luck  but baby  you and ICan t even mess it up  yeah  though we both triedNo  it don t always go the way we planned itBut the wolves came and went and we re still standingWhen the bones are good  the rest don t matterYeah  the paint could peel  the glass could shatterLet it rain  cause you and I remain the sameWhen there ain t a crack in the foundationBaby  I know any storm we re facingWill blow right over while we stay putThe house don t fall when the bones are goodWhen the bones are good
170,slow dance in a parking lot,jordan davis,love,Lights go down  wheels go  roundI m taking you homeHoping for a slow song to come on the radio nowI m not ready to shut it downThe way the dashboard glowIs hitting your eyes making me lose everything on my mindAnd the only thing I wanna do is find a spotStop this car and throw it in park and justSlow dance with youSpinning you around by the Walmart signAnd moving our feet over the painted white linesGetting close to youMaking the most of whatever we gotEven if it s just a slow dance in a parking lotA half song gone  one door open  across the lotA rent a cop s rolling a security carIts yellow lights spinning and flashing in timeTo the radio singing a little Garth BrooksYou start humming the very last verse to  She s Every Woman And I don t care what song comes nextI m falling right here  don t want a safety net in a
171,love you like i used to,russell dickerson,love,Girl  I ve always loved you  oh  but something s changedBlame it on time  the road or the ride  but it ain t the sameIt s a different kind of feeling  not the one I knewFrom the sweet on your lips  to how your hand in mine fitsGirl  I ve always loved you  butI don t love you like I used toThis gets better every time you kiss me like thisIt s stronger the longer I m with you  yeahMore than every single day beforeDidn t know I could ever love you more than I didBut baby  I do  I don t love you like I used to  noWhat we got ain t got no ending  like a band of solid goldIt s sweeter with time like strawberry wine  it gets as good as it gets oldAnd oh  we thought we knew what it meant way back thenOh  but I keep fallin  all in higher than I ve ever been  oh no  ohI don t love you like I used toThis gets better every time you kiss me like thisIt s stronger the longer I m with you  yeahMore than every single day beforeDidn t know I could ever love you more than I didBut baby  I do  I don t love you like I used to  no
172,beautiful crazy,luke combs,love,Her day starts with a coffee and ends with a wineTakes forever getting ready so she s never on time for anythingWhen she gets that  come get me  look in her eyesWell  it kinda scares me  the way that she drives me wildWhen she drives me wildBeautiful  crazy  she can t help but amaze meThe way that she dances  ain t afraid to take chancesAnd wears her heart on her sleeveYeah  she s crazy but her crazy s beautiful to meShe makes plans for the weekend  can t wait to go outTill she changes her mindSays   Let s stay on the couch and watch TV And she falls asleepBeautiful  crazy  she can t help but amaze meThe way that she dances  ain t afraid to take chancesAnd wears her heart on her sleeveYeah  she s crazy but her crazy s beautiful to meShe s unpredictable  unforgettableIt s unusual  unbelievableHow I m such a fool  yeah  I m such a fool for her
173,long haul,ian munsick,love,I don t ever look backNo you never gottaWorry  bout things like thatSo don t think twice becauseI ain t afraid of the slow burnAnd one thing s for sureIt s good to make a good thing lastSo girl  don t worryThis boy ain t gonna runThere ain t no hurryWe got plenty of days left under the sunNo  it ain t a one day rideIt s up through the mountains where the coyotes cryDown through the canyon where the wild things hideAnd the cottonwoods fallFeel the river underneath our feetWe ll be drowning in a sagebrush seaLong as I know that it s you and meTime don t matter at allGirl  I m in it for the long haulI m in it for the long haulTake ahold of my handI m gonna love youSlow like the hourglass sandGod knows  I ve spent a lifetime of lonely wanderin But I m all in for goodI wanna be your man
174,another,adam doleac,love,Put another record onPour another glass of wineRock another night of usLosing all track of timeEverything you do just makes me want some more of youEvery smile  every kiss  every second that I getEvery little look you give me like thatEvery night  every day  every memory that we makeBaby  you ain t even gotta askI ll always want another danceAnother chance to hold your handYeah  from the second that we fеll into each otherKnew I was nеver gonna ever wannaNever ever gonna want anotherKnew I was never ever gonna wannaNever ever gonna wannaAnother smile  sleepy eyesWaking up right next to meA million more just like last nightYou and me on repeat
175,eyes on you,chase rice,love,We ve been to both CarolinasSeen a big Montana skyDriven up and down a coast a few timesLondon  Paris  paradiseBut ain t got much memory of the scenesCome to think  I miss them allAnd damn  babe  it s all your faultNo matter where we goNo matter what we doIf you re there  girl  I ve got my eyes on youDon t matter where we ve beenNo  there ain t no better viewThan you in my arms with my eyes on youWith my eyes on you With my eyes on you Speaking of the coast  remember Pfeiffer beach You and me  that sunset  cliffs by the seaAnd the night rolled inAnd you still talk about that moon that I can t recallBut God  I saw all I needed toMight as well have stayed in the room
176,waves,luke bryan,love,It s like the sun went down just to frame your faceLike they played that song just to see you swayLike that old surf shop had you in mindWith what you got on  makin  those tan linesIt s like the ocean knows we re layin On this beach tonightIt s like the sand s been waitin For you to come alive  causeYou were made for summerJust like these stars we re underWe re made for lightin  this July sky upBlanket down made for me and you tied upAll night long  over and overCrash into me and pull mе closerKiss by kiss  one after anothеrDon t let it go  baby  let this summerJust keep on comin  in waves  keep comin  in wavesKeep on comin  in waves  keep comin  in wavesWish I could bottle up the taste on your lipsThat margarita saltwater sunburned sipIt s like I feel that sun right next to meYeah  girl  your touch is a hundred degreesBoardwalks were made for dancin And flip flops were made to lose likeThis night was meant to happenAnd  girl  I was made for you like
177,coulda loved you longer,adam doleac,love,We were both downtown  different sides of the same crowdWasn t even gonna go out or stay that lateYou wrote your number on a napkin without me even askin Still feels like it happened just yesterdayAnd I know we got forever  babeSo I got no reason to complainThere s nothin  about us that I d changeExcept one thingWish I da met you soonerSo I coulda loved you longerWish I da spend it on youInstead of wastin  all that timeAll of our favorite memoriesWould go back a little bit fartherWish I da met you soonerSo I coulda loved you  I coulda loved you longerAll of those sunsets  I bet they woulda looked betterShinin  in your eyes with your hand in mineAnd all of those lonely nights that we coulda been togetherCoulda felt like this every time we kissCan t help it  I
178,breathe,faith hill,love,I can feel the magic floating in the airBeing with you gets me that wayI watch the sunlight dance across your face and I veNever been this swept awayAll my thoughts just seem to settle on the breezeWhen I m lying wrapped up in your armsThe whole world just fades awayThe only thing I hearIs the beating of your heart Cause I can feel you breathe  it s washing over meAnd suddenly  I m melting into youThere s nothing left to proveBaby  all we need is just to beCaught up in the touch  slow and steady rushBaby  isn t that the way that love s supposed to be I can feel you breatheJust breatheIn a way  I know my heart is waking upAs all the walls come tumbling downI m closer than I ve ever felt beforeAnd I know  and you knowThere s no need for words right now
179,home sweet,russell dickerson,love,Home sweetTouching down  from a six night honeymoonSun kissed kids  still drunk on loveWent from  all inclusive margaritas in MalibuTo praying we could pay rent this monthThat doormat says  Welcome Home But I think it s wherever I m with youIt s more than some bricks and stonesNo  there ain t nothing likeHome sweet  you and meAin t got much but we got all we needWherever the wind blowsWherever this life goesBaby  all I know  ain t nothing like  nothing likeHome sweetYou and meYour love is like  a porch swing on SundayJust as gentle as a summer sunriseThey say  It s where the heart is   well  mine s with you  babeLong as I got your hand  I m fine  yeah
180,always gonna love you,florida georgia line,love,Like my mama s home cooking after Sunday churchLike an ice cold beer after hard workLike a hot cup of coffee on your way to townLike an underdog last second touchdownLike the feeling that you get when you get a biteLike the power of a throttle when it s open wideWhen the sand runs out of that hourglassYou ain t ever gotta wonder  you ain t gotta askI  I  I  I  I  I m always gonna love youAlways gonna love you  babyI  I  I  I  I  I m always gonna love youAlways gonna love youWhen the sun burns out and the cows come homeFrom now  til forever something you can count on isI  I  I  I  I  I m always gonna love youAlways gonna love you  yeahLove them freckles that you get in the summertimeAnd the way you get giddy off a glass of wineEven the way you take forever and you never on timeAin t a thing not to love  ain t no wonder why  baby
181,ocean,lady a,love,How can someone stand so damn closeAnd feel like they re worlds away I can see your sad story eyesSo how do you have no words to say All I want is to fall in deeperThan I ve ever beenWhy won t you let me I can handle your heart  so help meHere you are  next to meSo much beauty at my feetAll I wanna do is swimBut the waves keep crashin  inNo  I m not afraid to drownTake me out  take me downI m so tired of the shoreLet me in  babyYou re an ocean beautiful and blueI wanna swim in youLike a lighthouse I ve been shinin  brightThrough the dark for the both of usAnd  I ve done it outta love  is not enoughBut God  how I wish it wasAnd I don t wanna find outHow much lonely I can take before you lose meBaby  look at me and swear you won t lose me
182,prayed for you,matt stell,love,I ve never been one to ask for helpIf I need a mountain moved  I move it myselfI ain t the church pew regular  twice on SundayQuote you the scripture kindI m far from a preacherBut I m a believer Cause every single day  before I knew your nameI couldn t see your face  but I prayed for youEvery heartbreak trail when all hope failedOn the highway to hell  I prayed for youI kept my faith like that old King JamesSaid I m supposed toIt s hard to imagine  bigger than I could fathomI didn t know you from Adam  but I prayed for youFor someone to love me like you doGraceful eyes to see me throughA smile that steals me  a heart that heals meA touch that kills me tooAnd baby  you re perfect  I guess the good Lord heard it Cause every single day  before I knew your nameI couldn t see your face  but I prayed for youEvery heartbreak trail when all hope failedOn the highway to hell  I prayed for youI kept my faith like that old King JamesSaid I m supposed toIt s hard to imagine  bigger than I could fathomI didn t know you from Adam  but I prayed for you
183,yours,russell dickerson,love,I was a boat stuck in a bottleThat never got the chance to touch the seaJust forgot on the shelfNo wind in the sailsGoing nowhere with no one but meI was one in a hundred billionA burned out star in a galaxyJust lost in the sky wondering whyEveryone else shines out but meBut I came to life when I first kissed youThe best me has his arms around youYou make me better than I was beforeThank God I m yoursI was a worn out set of shoesWandering the city streetAnother face in the crowdHead looking downLost in the sound of a lonely melodyEmpty pockets at a rouletteAlways landing on a lost betJust live for the spin and hope for the winGo all in just to lose again
184,always gonna love you,alana springsteen,love,I don t know who we ll be in a couple yearsBut  I don t wanna think a second past this minuteCuz   you re here  in itI don t know how you could make me so confusedAnd so sure at the same timeHalf  a sentence and I guess the restHow  are you in my headHow is this night so perfectI  don t know how this endsI m just bein  honestI will always be in love with who you areRight here  right now  with me tonight And  I will always see you like this  reckless  fearlessYou re tellin  me for the first timeI m always gonna love youHey ya  Hey ey ey yaI look at you and laugh  cuz you re cover s blownAnd we both know what this change isNo going back  we both know thatThis is our time and I m hiding at how scared I am thatYou won t always be mine but whatever happens
185,blessed,thomas rhett,love,Lights are down  but you re shining like you always doEvery day  I m reminded of the miracle of youYou re too good for coincidenceAnd too perfect for an accidentAnd I m not sure where Heaven isBut every night  I get a glimpseAnd I know I m blessedWatching you spin in that dressMaking my heart beat out my chestI can t count the times I ve heardPeople say I m lucky  but lucky ain t the wordOh  I m blessedAnd all I ain t got is my breathYou stole it the first time we metYou re more than I deservePeople say I m lucky  but lucky ain t the wordOh  I mI keep checking you for halosSwear you re an angel in disguiseYou poke my mind from every angle  and II can see Heaven in your eyes
186,hell of a view,eric church,love,I was no daddy s dreamWas not your momma s prayerBut I was your first and yourLast ticket out of thereI caught your wings on fireWhen I smoked my bronco tiresOut of that townI m good at rollin  diceNo good at standin  stillYou liked the thought of chasin Life instead of dollar billsWe were livin  wrecklessNothin  to catch us  babyBut the groundThis ain t for everybodyToes hangin  off the ledgeLike we got nothin  to loseAin t always Heaven  babyThis livin  on the edgeYou holdin  me  holdin  youIt s a Hell of a view
187,world for two,king calaway,love,Sometimes I think this world s too muchAll the hurt  all the hate  all it takes is a human touchIt s so easy to get lost in the lightMake a change  make a choice  all the noise  we can drown it outMeet me out where the stars turn blue  come onTouch the sky and enjoy the viewSo come here  make it all disappear like lovers doGirl  for you  I wish that I could build a world for twoGirl  for you  I wish that I could build a world for twoKiss me like there s no one else for milesTake it fast  take it slow  letting go for a little whileHeaven s so close to the both of usFor the rest of the night we can fly  we can rise above Meet me out where the stars turn blue  come onTouch the sky and enjoy the viewSo come here  make it all disappear like lovers doGirl  for you  I wish that I could build a world for twoGirl  for you  I wish that I could build a world for two 
188,rumor,lee brice,love,Girl you know I ve known you foreverHow many nights we hung out togetherSame little crowd  little bar  little townRound this old dance floorMy boys are laughing and tap me on the shoulderMaking a motion like   Could y all get any closer  They wanna know what s up why I m still holding yaEven when the song is overThere s a rumor going round about me and youStirring up our little town the last week or twoSo tell me why we even trying to deny this feelingI feel it  don t you feel it too There s a rumor going round  and round  and roundWhat d you say we make it true We make it trueOh  we make it trueWell I can shut  em down  tell them all they re crazyI can do whatever you want me to do  babyOr you could lay one on me right nowWe could really give them something to talk about
189,you time,scotty mccreery,love,You time  you time  you timeYou time  you time  you timeThe road s got me rollin  six days a weekWhole lotta work and not much sleepBut I love what I doYeah  I know it s what I signed up forChasin  dreams from shore to shoreAnd even seeing some come trueBut now and thenI need to stop the spinnin  of the world  yeahAnd I need a little you time  you time  red wineSippin  in the moonlightYour touch  your skin  your lipsKissin  on me all nightI ain t tryna monopolizeYour 24 7  365  but sometimes I needJust a little bit of me and you time  you time  you timeOh
190,you got me,olivia lane,love,Sometimes no matter how hard you tryThis life s gonna be unfair sometimesI see you looking at me like you wanna know whyBaby  you got me  you got meI don t know why the wind that blowsAin t ever at our backOr that the road that we re rollin on ain t ever flatIt turns and it twistsDon t know what the answer is  butYou  you got meWhen the pieces don t fall togetherWhen you wish your best was better  babyYou  you got meRight here by your side hanging on for the rideWhen your dreams don t dream and the songs don t singAnd the grass ain t green and the ends don t meetAnd the prayers you re sending up don t seem to reachYou got meThose days when your faith ain t pulling you throughI ll be right there believing enough for twoWhen you don t give a damn cause you think that you can tGet the mountain to move I ll be saying we canI ll be taking your hand  and I ll never let goBaby you gotta know
191,the difference,tyler rich,love,Mhm  mhm  mhmMhm  mhm  mhmI m tired of sleeping on usI m over dodging this crushI m sick of waiting 10 minutes just text you backSo you don t get to thinking that I m too attachedI m more than benefit friendsI m more than just a weekend bingeI want you to be my hottie riding shottyI don t want nobody s body but your body  babeAll I m trying to say isThere s a difference between  Miss you  and  I miss your face There s a difference in  What s going on   and  Baby  how was your day  Yeah  there s a hell of a difference in saying three words or kinda just meaning twoThere s a difference in  Love ya  and  I love you And I wanna be the differenceYeah  I doI wanna be the difference between  Hey  what s up   and  What we gonna do tonight  Between  Yeah she s cool  we hang out sometimes   and  That girl right there she s mine Between leading you on and holding your handSitting it out and   Girl  let s dance Between playing it safe and taking a chanceYeah  pumping the brakes or hitting the gas
192,diamonds or twine,ryan hurd,love, You know when you know   you hear that all your lifeWell whoever they are  turns out they were rightSunshine  the good times  yeah  we got a few behind usBut when the bad times come  I ain t gonna runIt doesn t matter if it s diamonds or twineI ll be wrapped around your fingerGirl  you got me  til we run out of timeRich or poor  rain or shineThe wind s gonna blow wherever it goesAnd the road is gonna windDoesn t matter if it s diamonds or twineForevermore  I ll be yours and you ll be mineWhen I look at you now  I see all I ever wantedYou make me wanna hang aroundAnd hold your hand  we re a hundredYou make love feel so real  so simple and honestIt s in every breath and every kissYeah  the thing about you isDoesn t matter if it s diamonds or twineI ll be wrapped around your fingerGirl  you got me  til we run out of timeRich or poor  rain or shineThe wind s gonna blow wherever it goesAnd the road is gonna windDoesn t matter if it s diamonds or twineForevermore  I ll be yours and you ll be mine
