,name,artist,meaning
826,focus,h.e.r.,love
827,call it what you want,rum.gold,love
828,every kind of way,h.e.r.,love
829,"frank ocean ""thinking about you""",dlexer,love
830,gone away,h.e.r.,love
831,love songs - remix,kaash paige,love
832,midnight blues,umi,love
833,april 25th,kadeem tyrell,love
834,shame,summer walker,love
835,beg,leon thomas,love
836,i want you around (feat. 6lack) - remix,snoh aalegra,love
837,comfortable,h.e.r.,love
838,ugotme,omar apollo,love
839,beauty & essex,free nationals,love
840,home,dylan sinclair,love
841,blu,elujay,love
842,gonna love me,teyana taylor,love
843,open up,daniel caesar,love
844,broken clocks,sza,love
845,calling my phone,lil tjay,love
846,telepatía,kali uchis,love
847,use to,alyssa moneyse,love
848,hooked,alyssa moneyse,love
849,leave the door open,bruno mars,love
850,on the way (feat. mila j),jhené aiko,love
851,all i want,ajia,love
852,all i need (with mahalia & ty dolla $ign),jacob collier,love
853,jasmine,dpr live,love
854,free,j-sol,love
855,let me explain,bryson tiller,love
856,g.o.a.t.,eric bellinger,love
857,strawberry skies,kid travis,love
858,delectable,lindsxy mesenburg,love
859,losing,h.e.r.,love
860,that's why i love you (feat. sabrina claudio),sir,love
861,time,free nationals,love
862,all to me,giveon,love
863,world we created,giveon,love
864,while we're young,jhené aiko,love
865,streetcar,daniel caesar,love
866,say what you want,smoking u,love
867,nothing's gonna stop us now,tamara perez,love
868,angels,robbie williams,love
869,kiss me,elena monis,love
870,wicked game,lee andre,love
871,still loving you,scorpions,love
872,must be talking to an angel,tamara perez,love
873,thank you,laura poles,love
874,close my eyes forever,lita ford,love
875,alone,various artists,love
876,"i don't want to miss a thing - from the touchstone film, ""armageddon""",aerosmith,love
877,torn,smoking u,love
878,love is all around,lee andre,love
879,runaway train,elena monis,love
880,black velvet,alannah myles,love
881,don't let go,sandra molinas,love
882,un-break my heart,sandra molinas,love
883,africa,toto,love
884,careless whisper,george michael,love
885,up where we belong,tamara & diego grande,love
886,everybody hurts,tamara perez,love
887,carrie,europe,love
888,please forgive me i can't stop loving you,various artists,love
889,wind of change,scorpions,love
890,broken wings,mr. mister,love
891,all night long (all night) - single version,lionel richie,love
892,it's a wild world,tamara & diego grande,love
893,i.f.l.y.,bazzi,love
894,comethru (bonus track),jeremy zucker,love
895,the sad stoned kid at the skatepark,lewis kelly,love
896,just you and i - acoustic,tom walker,love
897,i got you,bazzi,love
898,strawberry huracan,masn,love
899,mirror,henri werner,love
900,butterflies,thomas reid,love
901,land of dreams,rewind,love
902,be like that - feat. swae lee & khalid,kane brown,love
903,miss you through the phone,sazu,love
904,house of cards,sophia alexa,love
905,stuck with u (with justin bieber),ariana grande,love
906,caught,mia baron,love
907,mi cora en tus manos,joanna crass,love
908,i'm going down,rnaq,love
909,worn out,thomas reid,love
910,sad world,jess benko,love
911,drivers license,olivia rodrigo,love
912,if this was a movie,jesse blue,love
913,when nobody's watching,jess benko,love
914,love songs - bonus,kaash paige,love
915,flashbacks,otherwise fine,love
916,sunrise,ali gatie,love
917,away from you,roundrobin,love
918,this is how you fall in love,jeremy zucker,love
919,space,chanelle ray,love
920,feels like you,faime,love
921,life goes on!!,sophie powers,love
922,spare change,thomas reid,love
923,right here,keshi,love
924,be with you,imfinenow,love
925,how to be friends,martin jasper,love
926,in my dreams,rnla,love
927,hurt somebody,noah kahan,love
928,enough for us,the wdk,love
929,conversations in the dark,john legend,love
930,can't let you go,ali gatie,love
931,uninvited,qwiet type,love
932,babysitter,dinergirl,love
933,i haven't let go,rnaq,love
934,your lovin' (feat. mø & yxng bane),steel banglez,love
935,glitter,benee,love
936,peru,fireboy dml,love
937,face to face,ruel,love
938,confessions,tristan,love
939,supercuts,jeremy zucker,love
940,the other side,christian lopez,love
941,phantom,sven cilliers,love
942,"u move, i move (feat. jhene aiko)",john legend,love
943,be the one,jeryko,love
944,if the world was ending (feat. julia michaels),jp saxe,love
945,wife this,abigail bleu,love
946,workin,ashley david,love
947,touch,austn,love
948,arizona,jordan mitchell,love
949,losing me,rolipso,love
950,mariposa,peach tree rascals,love
951,flare guns,quinn xcii,love
952,because of you,sazu,love
953,take it easy,surfaces,love
954,safe place,rnaq,love
955,all of me,various artists,love
956,i wanna be your slave,creamy,love
957,you saved me,shuja,love
958,do it again,kaj,love
959,circles,post malone,love
960,skeletons,keshi,love
961,death bed (coffee for your head),powfu,love
962,you were good to me (bonus track),jeremy zucker,love
963,falling like the stars,james arthur,love
964,let her go,passenger,love
965,love lies (with normani),khalid,love
966,let me love you,mario,love
967,can't find now,the wdk,love
968,never was,tyler rayn,love
969,same effect,benee,love
970,running on my mind,ali gatie,love
971,canary wharf,roundrobin,love
972,say to you,ali gatie,love
973,a song for me,ollie wade,love
974,love on the brain,rihanna,love
975,my favourite clothes,rini,love
976,off the grid (feat. khalid),alina baraz,love
977,soaked,benee,love
978,head first,christian french,love
979,mean it,lauv,love
980,"thank u, next",ariana grande,breakup
981,before he cheats,carrie underwood,breakup
982,complicated,avril lavigne,breakup
983,bye bye bye,*nsync,breakup
984,shout out to my ex,little mix,breakup
985,she's so gone,lemonade mouth,breakup
986,give your heart a break,demi lovato,breakup
987,sorry not sorry,demi lovato,breakup
988,womanizer,britney spears,breakup
989,hot n cold,katy perry,breakup
990,no scrubs,tlc,breakup
991,josslyn,olivia o'brien,breakup
992,truth hurts,lizzo,breakup
993,don't call me up,mabel,breakup
994,toxic,britney spears,breakup
995,you're such a,hailee steinfeld,breakup
996,picture to burn,taylor swift,breakup
997,angels like you,miley cyrus,breakup
998,you're not sorry,taylor swift,breakup
999,clean,taylor swift,breakup
1000,midnight sky,miley cyrus,breakup
1001,should've said no,taylor swift,breakup
1002,since u been gone,kelly clarkson,breakup
1003,what the hell,avril lavigne,breakup
1004,better than revenge,taylor swift,breakup
1005,i forgot that you existed,taylor swift,breakup
1006,potential breakup song,aly & aj,breakup
1007,woman (feat. the dap-kings horns),kesha,breakup
1008,i did something bad,taylor swift,breakup
1009,sue me,sabrina carpenter,breakup
1010,dear john,taylor swift,breakup
1011,getaway car,taylor swift,breakup
1012,back to december,taylor swift,breakup
1013,haunted,taylor swift,breakup
1014,want u back,cher lloyd,breakup
1015,all you had to do was stay,taylor swift,breakup
1016,the story of us,taylor swift,breakup
1017,mr. perfectly fine (taylor’s version) (from the vault),taylor swift,breakup
1018,traitor,olivia rodrigo,breakup
1019,happier,olivia rodrigo,breakup
1020,favorite crime,olivia rodrigo,breakup
1021,leave (get out) - 2018,jojo,breakup
1022,out of the woods,taylor swift,breakup
1023,death by a thousand cuts,taylor swift,breakup
1024,deja vu,olivia rodrigo,breakup
1025,august,taylor swift,breakup
1026,the way i loved you (taylor’s version),taylor swift,breakup
1027,forever & always (taylor’s version),taylor swift,breakup
1028,bye bye baby (taylor’s version) (from the vault),taylor swift,breakup
1029,champagne problems,taylor swift,breakup
1030,right where you left me - bonus track,taylor swift,breakup
1031,all i want,various artists,breakup
1032,enough for you,olivia rodrigo,breakup
1033,someone like you,adele,breakup
1034,the 1,taylor swift,breakup
1035,silver springs - 2004 remaster,fleetwood mac,breakup
1036,reckless,madison beer,breakup
1037,i almost do (taylor's version),taylor swift,breakup
1038,all too well (10 minute version) (taylor's version) (from the vault),taylor swift,breakup
1039,i bet you think about me (feat. chris stapleton) (taylor’s version) (from the vault),taylor swift,breakup
1040,i knew you were trouble (taylor's version),taylor swift,breakup
1041,we are never ever getting back together (taylor's version),taylor swift,breakup
1042,come back...be here (taylor's version),taylor swift,breakup
1043,red (taylor's version),taylor swift,breakup
1044,better man (taylor's version) (from the vault),taylor swift,breakup
1045,if you decide to leave someone,miles carter,breakup
1046,a soulmate who wasn’t meant to be,jess benko,breakup
1047,the night we met,lord huron,breakup
1048,nothing i've ever known,bryan adams,breakup
1049,when i was your man,bruno mars,breakup
1050,here with me,dido,breakup
1051,wish you were here,bee gees,breakup
1052,she,harry styles,breakup
1053,feel something,bea miller,breakup
1054,violent,carolesdaughter,breakup
1055,cut my hair,mounika.,breakup
1056,x&y,coldplay,breakup
1057,cry,cigarettes after sex,breakup
1058,save your tears,the weeknd,breakup
1059,creep on me,gashi,breakup
1060,"break up with your girlfriend, i'm bored",ariana grande,breakup
1061,play date,melanie martinez,breakup
1062,wish you were gay,billie eilish,breakup
1063,without a word,birdy,breakup
1064,adore,amy shark,breakup
1065,moments,one direction,breakup
1066,home,one direction,breakup
1067,sorry seems to be the hardest word,elton john,breakup
1068,ilomilo,billie eilish,breakup
1069,bored,billie eilish,breakup
1070,don't tell me,ruel,breakup
1071,falling,trevor daniel,breakup
1072,temporary fix,one direction,breakup
1073,cinnamon girl,lana del rey,breakup
1074,flicker,niall horan,breakup
1075,when the party's over,billie eilish,breakup
1076,i'm not the only one,sam smith,breakup
1077,only love can hurt like this,paloma faith,breakup
1078,out of love,alessia cara,breakup
1079,wrong direction,hailee steinfeld,breakup
1080,the winner takes it all,abba,breakup
1081,the heart wants what it wants,selena gomez,breakup
1082,just a little bit of your heart,ariana grande,breakup
1083,slide away,miley cyrus,breakup
1084,nothing breaks like a heart (feat. miley cyrus),mark ronson,breakup
1085,don't speak,no doubt,breakup
1086,no tears left to cry,ariana grande,breakup
1087,right now,one direction,breakup
1088,stupid in love,rihanna,breakup
1089,new rules,dua lipa,breakup
1090,you don't know,katelyn tarver,breakup
1091,lost without you,freya ridings,breakup
1092,not about angels,birdy,breakup
1093,need you now - acoustic,dean lewis,breakup
1094,heal,tom odell,breakup
1095,waves - acoustic,dean lewis,breakup
1096,maybe i will learn,rhys,breakup
1097,july,noah cyrus,breakup
1098,sex money feelings die,lykke li,breakup
1099,you belong with me,taylor swift,breakup
1100,kissing you,various artists,breakup
1101,fine line,harry styles,breakup
1102,don't you remember,adele,breakup
1103,losing my religion,r.e.m.,breakup
1104,amnesia,5 seconds of summer,breakup
1105,love you goodbye,one direction,breakup
1106,hurt for me,syml,breakup
1107,the fault in our stars,troye sivan,breakup
1108,love me wrong,allie x,breakup
1109,again (feat. xxxtentacion),noah cyrus,breakup
1110,magnetised,tom odell,breakup
1111,falling for you,the 1975,breakup
1112,bitches broken hearts,billie eilish,breakup
1113,it's a heartache,bonnie tyler,breakup
1114,are you with me,nilu,breakup
1115,close to you,rihanna,breakup
1116,sad sex,ängie,breakup
1117,where's my love - alternate version,syml,breakup
1118,when i look at you,miley cyrus,breakup
1119,hoax,taylor swift,breakup
1120,another love,tom odell,breakup
1121,illicit affairs,taylor swift,breakup
1122,"i miss you, i’m sorry",gracie abrams,breakup
1123,she used to be mine,sara bareilles,breakup
1124,still,niall horan,breakup
1125,always you,louis tomlinson,breakup
1126,you sang to me,marc anthony,breakup
1127,please come back,teqkoi,breakup
1128,over now,post malone,breakup
1129,the break up,machine gun kelly,breakup
1130,wanted you (feat. lil uzi vert),nav,breakup
1131,i'm gonna show you crazy,bebe rexha,breakup
1132,still got time (feat. partynextdoor),zayn,breakup
1133,never will i ever,lil playah,breakup
1134,rewind,g-eazy,breakup
1135,roses (with juice wrld feat. brendon urie),benny blanco,breakup
1136,lie,halsey,breakup
1137,te boté - remix,nio garcia,breakup
1138,ahora dice,chris jedi,breakup
1139,karma,queen naija,breakup
1140,idgaf,dua lipa,breakup
1141,back to the streets (feat. jhené aiko),saweetie,breakup
1142,joke's on you,charlotte lawrence,breakup
1143,notebook,melanie martinez,breakup
1144,"f*ck you, goodbye (feat. machine gun kelly)",the kid laroi,breakup
1145,forget me too (feat. halsey),machine gun kelly,breakup
1146,yo perreo sola,bad bunny,breakup
1147,heartless,the weeknd,breakup
1148,you should be sad,halsey,breakup
1149,make believe,juice wrld,breakup
1150,selfish (feat. josh x),cardi b,breakup
1151,unfazed (feat. the weeknd),lil uzi vert,breakup
1152,used to,juice wrld,breakup
1153,karma - skit,juice wrld,breakup
1154,xo tour llif3,lil uzi vert,breakup
1155,b.s. (feat. h.e.r.),jhené aiko,breakup
1156,no bystanders,travis scott,breakup
1157,it’s time to go - bonus track,taylor swift,breakup
1158,i do (feat. sza),cardi b,breakup
1159,die for me (feat. future & halsey),post malone,breakup
1160,hate me,ellie goulding,breakup
1161,jealous (feat. lexii alijai),kehlani,breakup
1162,do re mi (feat. gucci mane),blackbear,breakup
1163,i hope your whole life sux,blackbear,breakup
1164,nunya (feat. dom kennedy),kehlani,breakup
1165,monopoly (with victoria monét),ariana grande,breakup
1166,press,cardi b,breakup
1167,without me,halsey,breakup
1168,so done,the kid laroi,breakup
1169,hate the other side (with marshmello & the kid laroi),juice wrld,breakup
1170,"hi, it's me",ashnikko,breakup
1171,teenage fever,drake,breakup
1172,do not disturb,drake,breakup
1173,marvins room,drake,breakup
1174,"iii. telegraph ave. (""oakland"" by lloyd)",childish gambino,breakup
1175,shot for me,drake,breakup
1176,don't,bryson tiller,breakup
1177,redemption,drake,breakup
1178,lonely,akon,breakup
1179,fuck love (feat. trippie redd),xxxtentacion,breakup
1180,jocelyn flores,xxxtentacion,breakup
1181,come and see me (feat. drake),partynextdoor,breakup
1182,chasing pavements,adele,breakup
1183,living single,big sean,breakup
1184,no longer friends,bryson tiller,breakup
1185,same drugs,chance the rapper,breakup
1186,shot down,khalid,breakup
1187,sad!,xxxtentacion,breakup
1188,jungle,drake,breakup
1189,coaster,khalid,breakup
1190,i fall apart,post malone,breakup
1191,die for you,the weeknd,breakup
1192,ex calling,6lack,breakup
1193,fire & desire,drake,breakup
1194,from time,drake,breakup
1195,true colors,the weeknd,breakup
1196,well,grace gb,breakup
1197,right by my side,nicki minaj,breakup
1198,moment 4 life,nicki minaj,breakup
1199,luving u,6lack,breakup
1200,love galore (feat. travis scott),sza,breakup
1201,"sorry, blame it on me",akon,breakup
1202,stay,post malone,breakup
1203,lovely (with khalid),billie eilish,breakup
1204,never call me,jhené aiko,breakup
1205,why,bazzi,breakup
1206,save me,nicki minaj,breakup
1207,chostantine,grace gb,breakup
1208,falling in love,dennis kruissen,breakup
1209,she knows me better,grace gb,breakup
1210,mess,lil wayne,breakup
1211,dark side of the moon (feat. nicki minaj),lil wayne,breakup
1212,can't be friends,trey songz,breakup
1213,call out my name,the weeknd,breakup
1214,obsesion (no es amor) (feat. baby bash),frankie j,breakup
1215,idontwannabeyouanymore,billie eilish,breakup
1216,she don't (feat. ty dolla $ign),ella mai,breakup
1217,prblms,6lack,breakup
1218,been that way,bryson tiller,breakup
1219,all i ask,adele,breakup
1220,what about me (feat. post malone),lil wayne,breakup
1221,doing it wrong,drake,breakup
1222,ghostin,ariana grande,breakup
1223,in my head,ariana grande,breakup
1224,romeo & juliet,trippie redd,breakup
1225,thru your phone,cardi b,breakup
1226,ring (feat. kehlani),cardi b,breakup
1227,ego,planb3e,breakup
1228,be careful,cardi b,breakup
1229,lucid dreams,juice wrld,breakup
1230,faithfully unfaithful,fat fly freddie lee,breakup
1231,how does it feel feat. kimie,the green,breakup
1232,fire,doug panton,breakup
1233,could've been (feat. bryson tiller),h.e.r.,breakup
1234,alone,yo trane,breakup
1235,i'm leaving,evrod cassimy,breakup
1236,tease,nikko tank,breakup
1237,light,kabwasa,breakup
1238,heather,conan gray,breakup
1239,i can't wait,grace gb,breakup
1240,to the moon,phora,breakup
1241,promises,jhené aiko,breakup
1242,love you,roy woods,breakup
1243,drama (feat. drake),roy woods,breakup
1244,ya acabo,marca mp,breakup
1245,jugaste y sufrí,eslabon armado,breakup
1246,her world or mine,michael ray,breakup
1247,drowning,chris young,breakup
1248,i hope you’re happy now,carly pearce,breakup
1249,i hope,gabby barrett,breakup
1250,one night standards,ashley mcbryde,breakup
1251,chasin' you,morgan wallen,breakup
1252,need you now,lady a,breakup
1253,whiskey glasses,morgan wallen,breakup
1254,nobody but you (duet with gwen stefani),blake shelton,breakup
1255,after a few,travis denning,breakup
1256,more than my hometown,morgan wallen,breakup
1257,abby,travis denning,breakup
1258,better together,luke combs,breakup
1259,"wine, beer, whiskey",little big town,breakup
1260,done,chris janson,breakup
1261,ain't always the cowboy,jon pardi,breakup
1262,god gave me you,blake shelton,breakup
1263,some girls,jameson rodgers,breakup
1264,the ones that didn’t make it back home,justin moore,breakup
1265,dirt road,kidd g,breakup
1266,give heaven some hell,hardy,breakup
1267,truck,hardy,breakup
1268,7 summers,morgan wallen,breakup
1269,whiskey lullaby (feat. alison krauss),brad paisley,breakup
1270,if i die young,the band perry,breakup
1271,we danced,brad paisley,breakup
1272,i got the boy,jana kramer,breakup
1273,fly,maddie & tae,breakup
1274,burning house,cam,breakup
1275,heartbeat,carrie underwood,breakup
1276,drink to that all night,jerrod niemann,breakup
1277,aw naw,chris young,breakup
1278,whatever she's got,david nail,breakup
1279,must've never met you,luke combs,breakup
1280,one number away,luke combs,breakup
1281,alcohol you later,mitchell tenpenny,breakup
1282,"lover, lover",jerrod niemann,breakup
1283,teenage dream,kidd g,breakup
1284,"take me home, country roads",john denver,breakup
1285,i cross my heart - pure country soundtrack version,george strait,breakup
1286,answer the call,shanna jackman,breakup
1287,waitin' on 5,chris janson,breakup
1288,time,dean brody,breakup
1289,dear rodeo,cody johnson,breakup
1290,where the sidewalk ends - pure country/soundtrack version,george strait,breakup
1291,goodbye earl,the chicks,breakup
1292,ready to run,the chicks,breakup
1293,things a man oughta know,lainey wilson,breakup
1294,next girl,carly pearce,breakup
1295,memory i don't mess with,lee brice,breakup
1296,drunk driving,koe wetzel,breakup
1297,bandaid on a bullet hole - bonus,morgan wallen,breakup
1298,865,morgan wallen,breakup
1299,neon eyes,morgan wallen,breakup
1300,warning,morgan wallen,breakup
1301,dangerous,morgan wallen,breakup
1302,wasted on you,morgan wallen,breakup
1303,pretty heart,parker mccollum,breakup
1304,like a cowboy,parker mccollum,breakup
1305,angel wings,logan michael,breakup
1306,she's somebody's daughter (the wedding version),drew baldridge,breakup
1307,omg (feat. will.i.am),usher,breakup
1308,party rock anthem,lmfao,breakup
1309,good feeling,flo rida,breakup
1310,dynamite,taio cruz,breakup
1311,drinkin' beer. talkin' god. amen. (feat. florida georgia line),chase rice,breakup
1312,freedom was a highway,jimmie allen,breakup
1313,to us it did,mitchell tenpenny,breakup
1314,breakups,seaforth,breakup
1315,breaking up was easy in the 90's,sam hunt,breakup
1316,drunk (and i don't wanna go home),elle king,breakup
1317,i'll quit lovin' you,hardy,breakup
1318,for her,chris lane,breakup
1319,she never cried in front of me,toby keith,breakup
1320,get to you,michael ray,breakup
1321,hooked,dylan scott,breakup
1322,drunk girl,chris janson,breakup
1323,singles you up,jordan davis,breakup
1324,most people are good,luke bryan,breakup
1325,boy,lee brice,breakup
1326,i lived it,blake shelton,breakup
1327,rearview town,jason aldean,breakup
1328,blank space,taylor swift,breakup
1329,what a shame,leyla blue,breakup
1330,you & jennifer,bülow,breakup
1331,burning pile,mother mother,breakup
1332,newbury park,lexi jayde,breakup
1333,good in goodbye,madison beer,breakup
1334,i've had enough,melina kb,breakup
1335,don't start now,dua lipa,breakup
1336,dead,madison beer,breakup
1337,maniac,conan gray,breakup
1338,therefore i am,billie eilish,breakup
1339,don't need a man,liv grace blue,breakup
1340,misery business,paramore,breakup
1341,i love you but i love me more,marina,breakup
1342,i hope ur miserable until ur dead,nessa barrett,breakup
1343,cry for me,camila cabello,breakup
1344,abcdefu,gayle,breakup
1345,bad day,justus bennetts,breakup
1346,boyshit,madison beer,breakup
1347,you’re not sorry (taylor’s version),taylor swift,breakup
1348,please notice,christian leave,breakup
1349,"i hate u, i love u (feat. olivia o'brien)",garrett nash,breakup
1350,easy on me,adele,breakup
1351,jealous,labrinth,breakup
1352,"1 step forward, 3 steps back",olivia rodrigo,breakup
1353,tolerate it,taylor swift,breakup
1354,this is what a toxic relationship feels like,clinton kane,breakup
1355,half a heart,one direction,breakup
1356,better off,jeremy zucker,breakup
1357,i don't miss u,carobae,breakup
1358,sober,selena gomez,breakup
1359,i wrote you a letter,fudasca,breakup
1360,fun,amanda mcbrayer,breakup
1361,you found me,the fray,breakup
1362,come on mess me up,cub sport,breakup
1363,just one night,carobae,breakup
1364,i’ll still have me,cyn,breakup
1365,forever & always (piano version) (taylor’s version),taylor swift,breakup
1366,i found - acoustic,amber run,breakup
1367,out of love,peter manos,breakup
1368,coney island (feat. the national),taylor swift,breakup
1369,the only,sasha alex sloan,breakup
1370,never say never,the fray,breakup
1371,fade,lewis capaldi,breakup
1372,maybe maybe,lola amour,breakup
1373,the last time (feat. gary lightbody of snow patrol) (taylor’s version),taylor swift,breakup
1374,what about today?,lewis watson,breakup
1375,litost,x ambassadors,breakup
1376,take care,eden,breakup
1377,the house we never built,gabrielle aplin,breakup
1378,1000 times,sara bareilles,breakup
1379,same side,jessie reyez,breakup
1380,six feet under,billie eilish,breakup
1381,i never told you,colbie caillat,breakup
1382,if you want love,nf,breakup
1383,exile (feat. bon iver),taylor swift,breakup
1384,feeling whitney,post malone,breakup
1385,human,christina perri,breakup
1386,bruises,lewis capaldi,breakup
1387,somebody that i used to know,gotye,breakup
1388,big girls don't cry (personal),fergie,breakup
1389,leave my heart out of this,fifth harmony,breakup
1390,when you're gone,avril lavigne,breakup
1391,i don't love you,my chemical romance,breakup
1392,if i were a boy,beyoncé,breakup
1393,mr. know it all,kelly clarkson,breakup
1394,best thing i never had,beyoncé,breakup
1395,my happy ending,avril lavigne,breakup
1396,perfect,simple plan,breakup
1397,i knew you were trouble.,taylor swift,breakup
1398,impossible - acoustic,james arthur,breakup
1399,why won’t you love me,5 seconds of summer,breakup
1400,teeth,5 seconds of summer,breakup
1401,ghost of you,5 seconds of summer,breakup
1402,so sick,ne-yo,breakup
1403,apologize,onerepublic,breakup
1404,love will remember,selena gomez,breakup
1405,taken,one direction,breakup
1406,the climb,various artists,breakup
1407,the one that got away - acoustic,katy perry,breakup
1408,7 things - single version,miley cyrus,breakup
1409,"if you can't live without me, why aren't you dead yet?",mayday parade,breakup
1410,i'm with you,avril lavigne,breakup
1411,u got it bad,usher,breakup
1412,easier,5 seconds of summer,breakup
1413,ghost,ella henderson,breakup
1414,come back to me,vanessa hudgens,breakup
1415,here we go again,demi lovato,breakup
1416,one last time,ariana grande,breakup
1417,in case,demi lovato,breakup
1418,love the way you lie,eminem,breakup
1419,don't forget,demi lovato,breakup
1420,a little too not over you,david archuleta,breakup
1421,blow me (one last kiss),p!nk,breakup
1422,act like you love me,shawn mendes,breakup
1423,til i forget about you,big time rush,breakup
1424,shouldn't come back,demi lovato,breakup
1425,take a bow,rihanna,breakup
1426,so yesterday,hilary duff,breakup
1427,you don't own me (feat. g-eazy),saygrace,breakup
1428,tonight i’m getting over you,carly rae jepsen,breakup
1429,we are never ever getting back together,taylor swift,breakup
1430,"it's alright, it's ok",ashley tisdale,breakup
1431,fu (feat. french montana),miley cyrus,breakup
1432,really don't care,demi lovato,breakup
1433,i don't need a man,the pussycat dolls,breakup
1434,according to you,orianthi,breakup
1435,love myself,hailee steinfeld,breakup
1436,beggin' on your knees (feat. victoria justice),victorious cast,breakup
1437,mistake,demi lovato,breakup
1438,in real life,demi lovato,breakup
1439,unfriend you,greyson chance,breakup
1440,fix a heart,demi lovato,breakup
1441,more than this,one direction,breakup
1442,goodbye,miley cyrus,breakup
1443,stay,miley cyrus,breakup
1444,hurts like hell (feat. offset),madison beer,breakup
1445,better in time,leona lewis,breakup
1446,sick of you,selena gomez & the scene,breakup
1447,my everything,ariana grande,breakup
1448,used to love you,gwen stefani,breakup
1449,bad at love,halsey,breakup
1450,i hate everything about you,three days grace,breakup
1451,back to you,selena gomez,breakup
1452,why don't you love me (feat. demi lovato),hot chelle rae,breakup
1453,break up song,little mix,breakup
1454,feel me,selena gomez,breakup
1455,break my heart,dua lipa,breakup
1456,this is why we can't have nice things,taylor swift,breakup
1457,part of me,katy perry,breakup
1458,i don't fuck with you,big sean,breakup
1459,fuck apologies. (feat. wiz khalifa),jojo,breakup
1460,look at her now,selena gomez,breakup
1461,feeling myself,nicki minaj,breakup
1462,fuck you,ceelo green,breakup
1463,boys ain't shit,saygrace,breakup
1464,good as hell,lizzo,breakup
1465,idfc,blackbear,breakup
1466,hot girl bummer,blackbear,breakup
1467,do re mi,blackbear,breakup
1468,my ex's best friend (with blackbear),machine gun kelly,breakup
1469,queen of broken hearts,blackbear,breakup
1470,playboy shit (feat. lil aaron),blackbear,breakup
1471,heartbroken,blackbear,breakup
1472,special,ashnikko,breakup
1473,daddy af,slayyyter,breakup
1474,daisy,ashnikko,breakup
1475,stupid (feat. yung baby tate),ashnikko,breakup
1476,tantrum,ashnikko,breakup
1477,dictator,rei ami,breakup
1478,so thick (feat. baby goth),whipped cream,breakup
1479,danger,jucee froot,breakup
1480,lonely gun,cyn,breakup
1481,hit me with your best shot,various artists,breakup
1482,why do you love me,charlotte lawrence,breakup
1483,feeling good,various artists,breakup
1484,jekyll & hide,bishop briggs,breakup
1485,diamonds (with normani),megan thee stallion,breakup
1486,lola,iggy azalea,breakup
1487,my type (feat. becky g & melii) - latin remix,saweetie,breakup
1488,lil bebe - bebecito remix,danileigh,breakup
1489,fuck it up (feat. kash doll),iggy azalea,breakup
1490,poledancer (feat. megan thee stallion) - dj taj jersey club mix,wale,breakup
1491,simon says (feat. juicy j),megan thee stallion,breakup
1492,throw it back,missy elliott,breakup
1493,peach (feat. city girls),pardison fontaine,breakup
1494,fuck em up sis,renni rucci,breakup
1495,bad bitch anthem,trina,breakup
1496,bounce,latto,breakup
1497,deathwish,poutyface,breakup
1498,vitamins,qveen herby,breakup
1499,sugar honey iced tea (s.h.i.t.),princess nokia,breakup
1500,bad memory,various artists,breakup
1501,sweetheart,rebecca black,breakup
1502,grilling niggas,cupcakke,breakup
1503,liar,bigklit,breakup
1504,my way,queen key,breakup
1505,elastic,bali baby,breakup
1506,big mouth,rubi rose,breakup
1507,tia tamera (feat. rico nasty),doja cat,breakup
1508,in the party,flo milli,breakup
1509,ratchet saturn girl,aminé,breakup
1510,demi,comethazine,breakup
1511,bussin,tay money,breakup
1512,blackout,lil kapow,breakup
1513,rockstar shit,blind.see,breakup
1514,tuff,jaah slt,breakup
1515,choosin szn,kingmostwanted,breakup
1516,different varieties (remix),kingmostwanted,breakup
1517,hustle & flow,zaehd & ceo,breakup
1518,i'm single and i'm lit,rontae don't play,breakup
1519,need a freak,mighty bay,breakup
1520,lead the race (undefeated),comethazine,breakup
1521,walked in,ultradiox,breakup
1522,snake,lil keed,breakup
1523,outta there,moe,breakup
1524,sexy,joeville,breakup
1525,kolors,monte booker,breakup
1526,clicc clacc,nle choppa,breakup
1527,dumb bitchitis,yung cxreal,breakup
1528,skinny legend anthem,ava louise,breakup
1529,put yo back into it,loui,breakup
1530,wurk,huncho da rockstar,breakup
1531,guap (lalala),rico nasty,breakup
1532,single (feat.omeretta the great),killumantii,breakup
1533,you aint shit,sonta,breakup
1534,options,toni romiti,breakup
1535,3 musketeers,ppcocaine,breakup
1536,ddlg,ppcocaine,breakup
1537,hugh hefner,ppcocaine,breakup
1538,that bitch,ppcocaine,breakup
1539,flesh,ghostemane,breakup
1540,squeeze,ghostemane,breakup
1541,like i'm gonna lose you (feat. john legend),meghan trainor,breakup
1542,lost boy,ruth b.,breakup
1543,unsteady,x ambassadors,breakup
1544,distant shore,poo bear,breakup
1545,parachutes,coldplay,breakup
1546,river of tears,alessia cara,breakup
1547,hurts like hell,fleurie,breakup
1548,say something,a great big world,breakup
1549,fall for you,secondhand serenade,breakup
1550,show me,sena kana,breakup
1551,can't help falling in love,haley reinhart,breakup
1552,superficial love,ruth b.,breakup
1553,way up tonight,lorenzo doryon,breakup
1554,we don't have to take our clothes off,ella eyre,breakup
1555,stay,rihanna,breakup
1556,who you are,jessie j,breakup
1557,break up in a small town,sam hunt,breakup
1558,i'm a loser,karin ann,breakup
1559,good thing,sam smith,breakup
1560,don't forget about me,cloves,breakup
1561,breathe me,sia,breakup
1562,try,colbie caillat,breakup
