,ARTIST_NAME,SONG_NAME,LYRICS,meaning
516,brent faiyaz,poison,I feel like there s no such thing as a relationship with condoms It s a one that won t last That s it real shit Gotta go raw I I know that s what Fay bout Yeah Real shit You know they says without is better so No pull out game Pull out game weak No condom It s embarrasing That s what they say That s what the That s what they say And girls hate condoms too everybody hate condoms Yeah condoms are just terrible dog Except for the people who got burned before Niggas need niggas need to live like the 70 s and shit I mean shit if we talking and you doing that thing bro after two three times bro that shit like Two or three This nigga said the first time For real Yeah What just happened did you do it I said no Ah I wa I was scared It s funny how certain bitches you ll hit raw and then the other ones you just like Yo it s just the vibe dog Yeah you gotta feel the vibe It s the vibe bro some some they try to push up on you and like woa woah what are you doing It s scary as sh I gotta be the one that s pressuring you to fuck raw Yeah If you ask me then I ll get a little bit turned off by it Ah that s true I ll start thinking who the fuck she gon ask Word Word that s true I won t be thinking so,love
517,giveon,heartbreak anniversary,Ooh Balloons are deflated Guess they look lifeless like me We miss you on your side of the bed mmm Still got your things here And they stare at me like souvenirs Don t wanna let you out my head Just like the day that I met you the day I thought forever Said that you love me but that ll last for never It s cold outside like when you walked out my life Why you walk out my life I get like this every time On these days that feel like you and me Heartbreak anniversary Cause I remember every time On these days that feel like you and me Heartbreak anniversary do you ever think of me No No no no Ooh nah,love
518,mac ayres,get to you again,Mmm I guess we ll meet again my friend It s not so often that you come around Until our track has seen its end Imma be running babe Mmm I spent the whole night driving home Just wishing you would call and tell me To turn around like I ain t done With what I started babe Finally think I m starting with you Can I start with you oh How do I get to you again How do I get to you again How do I get to you again babe How do I get to you again Ooh I heard she d never say she d fall She just had taken something stupid She probably won t expect my call So I ain t making it,love
519,ryan trey,mutual butterflies,Wassup ladies and gentlemen This your host D J Sentra How y all doing on this fine summer evening The time is now 7 50 and it s 76 degrees with a cool summer breeze You re listening to hot 82 4 and this smooth track I m bout to play reminds me of my first girlfriend Haha Hate that bitch But anyways here s Ryan Trey Mutual Butterflies I give you parts of my heart I ve never seen before I let you paint my black and white feelings to pink and gold Lil girl I let you drive my car I let you see my room I let you drink my juice nobody drinks my juice I let you get too comfortable You wasting my time I know I shoulda hit you with that duck and roll And now my niggas like I told you so But then my momma told me real eyes realize baby Realize this girl for you You the only one trippin she gave her soul to you I guess she right I mean she cool I mean she tight I mean if we speaking on facts I guess she s something that I like Or maybe date Or maybe wife Oh I m trippin Did I admit that I m slippin for a girl like you I guess I could try to The only problem is you make me nervous But then you told me that I make you nervous too,love
520,khalid,otw,Na na na na ooh Oh no oh ayy Put it in drive I ll be outside I ll be on the way I ll be on the way You can meet me in five I ll be all night I ll be a all day I ll be a all day Put it in drive I ll be outside I ll be on the way I ll be on the way You can meet me in five I ll be all night I ll be all day I ll be all day Yeah yeah yeah This the type of shit that you been waiting all year for Back in town for a minute if you with it Got a lot of time I just need somewhere to spend it I just press a button and the top go missing I kept the slip so you know it s not rented yeah oh oh What you wanna do Worried bout your friends they saw you this afternoon I been reading your mind No fair but you gotta let me know I m all ears and I got a lot of room in my whip If you wanna take it there I m on my way,love
521,umi,midnight blues,Midnight blues summer hues Late at night I think bout you Gloomy skies sweet goodbyes Late at night I think bout you And I wonder do you think about me too And I wonder do you feel the things I do Or is it just me now Or is it just me now Cause I can t see clear now No I can t see clear now And I need you here now I don t need to know how You fill the emptiness I feel inside Oh you make me feel like I can I can fly again You make me feel like I can Can be loved again Midnight blues sunset views Late at night I sing to you,love
522,kadeem tyrell,april 25th,The sky is grey But i am blue Sitting reading Angelou Feel ashamed Over you What is a man meant to do I am on my own again Left you with that vinyl then You turned around proceeded with your descend This says more bout me than you It ain t the first break we ve been through And every time Ramone says Just be cool The sky The sky is grey But I am blue Sitting reading Angelou Feel ashamed Over you What is a man meant to do Telling me to man up Tell me what a man does Hide the tears down some beers or what Well I can t deal with it like that She always finds her way right back I know it s long the holding on But I don t know how to react The sky,love
523,summer walker,shame,In a perfect world You re understanding I m not a perfect girl I would drop my fears at the door I would only bring myself and nothing more And you let me be a woman And you let me be a flawed woman You would yearn to hear all about my past What I ve done what I ve did and why Hear all my sick thoughts And if I needed to I could cry And you would catch my tears You don t wanna be nobody else s place no aye no You don t wanna be nobody else s place to hide from themselves Shame And I m the one to blame You see right through me You see through the smile You see straight through me You push past the lies oh You got it baby Oh oh oh,love
524,omar apollo,ugotme,Cause baby there s something you know But clearly you say I m not good for you I think that I m barely in love You said you don t smoke you do Here s something I wrote for you One time I had love for you Cause honestly you got me gone From everyone Stop you take my breath away I m so in love with you Now just passing the time Waiting longer for you Oh baby ooh oooooh And baby you know that I Never put it on it was you you Cause honestly you got me gone From everyone,love
525,dylan sinclair,home,I know we ll live this through Beat us black and blue I stay only if you do We were built to last for life In a state of mind If until we die When you re all alone Remember where home is I m your boulevard We fully control this When you re all alone Remember where home is I m your boulevard We fully control this My sights Not limited to Present me and you I live in the future My pride My heart doesn t use Distance as excuse To find something new,love
526,elujay,blu,Don t think assumptions I m not submissive You ve got that essence for me She asking questions Just got your blessings You know it isn t that deep oh oh You re the one that I ve been thinking bout You don t know the details Started in the wrong place You got me confused Somebody oh got me confused Somebody oh yeah got me confused Don t go and take my love And throw it away Don t go and take my love And throw it away Don t go and take my love And throw it away Don t go and take my love And throw it away,love
527,teyana taylor,gonna love me,And oh you re gonna love me You re gonna wanna hug me and squeeze me Sometimes we say things that we really don t mean We do things in between the lines We should do more to stand out I m sorry if I made you feel less than who you are A little insecure oh you s a shining star I wanna spend my nights with you My life with you oh baby babe Please wait up for me til whenever I get home I know that you re all alone Thinking bout what you re gon do I hope that you see it through ooh ooh And oh you re gonna love me You re gonna wanna hug me and squeeze me Sometimes I don t think we really say enough Why is it so hard to keep in touch When we re laying right next to each other baby We shouldn t read into things so much Overthinking understanding Don t let a feeling change it up,love
528,daniel caesar,open up,It s been such a long time Since I set foot in the club I really hate this shit don t I I hate feeling rushed girl can I just be honest I don t feel like talkin unless it s bout me or philosophy Can we just get down to business And when we re both finished then we ll have a reason to speak Then you can open up to me girl Let me plant my seed girl Let me fill your needs girl Open up to me open up to me The piano that I fuck you on Same one that on which I write these songs for you They re one in the same That goes for us too I give you my name The bed on which I lay to sleep And lay with you and lay in deep There ain t no difference this case there isn t That goes for us too I know you re listenin Sometimes it feels like I don t really care One day you ll see but in the meantime Just trust that I m there Just trust that I love you Just trust that I care Trust that I need you to always be there Trust that you know me well enough to know I m the high priest but you put on the show,love
529,sza,broken clocks,Run fast from my day job Runnin fast from the way it was Jump quick to a pay check Runnin back to the strip club I m never goin back never goin back No you can t make me Never goin back never goin back They ll never take me I ve paid enough of petty dues I ve heard enough of shitty news I ve had a thing for dirty shoes since I was 10 Love dirty men alike Ooh Better day than yesterday Ooh oh I just take it day by day Ooh oh oh Never hearing what they say Ooh ooh I just do it my way All I got is these broken clocks I ain t got no time Just burnin daylight Still love and it s still love and it s still love It s still love still love still love It s still love it s still love Nothin but love for you Nothin but love Nothin but love,love
530,lil tjay,calling my phone,Steady callin my phone I done told you before that it s over leave me lone Know it s hurtin you to see me gone Dark clouds you gon see me storm I won t go back But trust me you re gon hold that Hold that Get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I ain t tryna play these game no more I don t wanna be textin your name no more I ain t tryna feel this pain no more And I m sorry but my feelings ain t the same no more Used to be my homie you ain t gang no more I am not a nigga you could claim you no more Traumatized hoping it don t rain no more You done put me through some things that done changed my aura Now all around the world I explore no Dora New bitch I might drip out and Dior her Ass fat shawty straight heat no Florida Bad and she know it for herself I applaud her No needs yeah I m talkin my boo So please leave lone I m through And it s all cause of what you started I been told you I won t lose Steady callin my phone I done told you before that it s over leave me lone Know it s hurtin you to see me gone Dark clouds you gon see me storm I won t go back But trust me you re gon hold that Hold that Get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I ain t tryna play no games my love I m one of a kind couldn t fake my love Earthquake make somethin shake my love Most of em can t even relate my love Used to be gang oh now you re not gang Used to have fun no now you got shame Used to catch flights but now I m not playin Play on words she love it when a nigga sing I ain t tryna play your game no more No you can t wear my chain no more We are not a thing can t take no more Waitin on your king you could wait some more Cause yeah I remember days when I used to adore her Funny how this shit just flipped like a quarter Get a new thing I ma Fendi and Dior her Get a mood swing I ll be gone by tomorrow Steady callin my phone I done told you before that it s over leave me lone Know it s hurtin you to see me gone Dark clouds you gon see me storm I won t go back But trust me you re gon hold that Hold that Get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t get you off my mind now I can t,love
531,dpr live,jasmine,You know I can paint the world Sitting there in black and gold You re the perfect chemical I gotta test I gotta know You know I m no criminal But I could take your heart and go You re the perfect chemical I gotta test I gotta gotta Just let me Just let me Just let me Just let me좋은 차 많은 돈 없을 수 있어 하지만난 널 아낄 수 있고 또 소중히 다룰 수 있어그리고 네가 원하면 우주선을 타 밤하늘건너 별을 따 너의 손에 쥐여줄 수 있어말만 해 뭐든지 뭐 어때비 오는 날 커피 okay신사 홍대 압구 okay아침에 no makeup it s okay it s okay I ll be getting it ready to fuse Sitting on top of the world just cue Missing a puzzle I swear it s you,love
532,j-sol,free,If there s a chance That I can crash Then press restart on my heart yeh Before I fall apart In my darkest hour Will you lend your hand Or just let me crash land Yeh I just wanna be free I gotta be free Don t say you love me Take time to show me I just gotta be free I gotta be free Take time to show me Or set me free Got me second guessing what I give my all for Contemplating what I m bringing to the table All I m asking you to get up off my neck now I m making myself very clear this is for my people You bleed red and I bleed red Can we be equal Mothers crying fathers dying How s that legal Hold my head up when my mind is drifting Oooh,love
533,bryson tiller,let me explain,It s been a long time I guess I just miss the old days You remember all them times You used to come keep me company Tell me you love me and just me Oh and it took a while to trust me Girl I had to work for it Still you don t judge me I love the way you touch me I m feeling like I m bout to lose you With all the shady shit I do to you Some things are better left unsaid I can t get it out my head Better left unsaid Everything that I regret No lie girl when I tell you you a blessing Girl just let me make corrections yeah Damn I ve been stressing yeah I ve been really tripping babe I learned my lesson yeah I still need you to listen oh babe Listen to me yeah Oh if you d just let me explain If you d just let me explain Baby oh Listen to me yeah yeah Oh if you d just let me explain If you d just let me explain Baby oh Yeah for sure Don t be afraid Don t be afraid,love
534,kid travis,strawberry skies,Can I can I tell you a secret Yeah Girl you brighten up my world Say you love me like you mean it yeah Girl I wanna hear you say it Can t you tell I want you by my side So do you mind It s late but let s take one more drive Just you and I We re gone with the wind Hair in your face Put my hand on your waist Strawberry skies all on your lips Cause I love how it taste Hope that you catch me when I fall No warning at all When I m not with you I go through withdrawals We re gone with the wind Hair in your face Put my hand on your waist Strawberry skies all on your lips Cause I love how it taste Hope that you catch me when I fall No warning at all When I m not with you I go through withdrawals,love
535,lindsxy mesenburg,delectable,V E R S E 1 Tasty maybe just wanna taste ah Maybe wanna try a new pastry I m open you noticed that lust was unspoken Don t slip you got me soakin P R E C H O R U S Whippin heavy cream It s so hot you see the steam On the windows that were clean Bout ten minutes ago We were just talkin degrees Now you re in between my knees All the sweets you ll ever need All you have to say is please boy C H O R U S Boy you so delectable You re my new obsession oh Eat it like it s edible oh Know I taste incredible Boy you so dеlectable You re my nеw obsession oh Know I taste incredible Yeah mmm,love
536,free nationals,time,I gotta take some time to grow But I don t wanna let you go How did we get too comfortable I gotta take some time to grow But without you I m miserable I think I got too comfortable We could take it to the day that I saw you On your way to the top Or we could take it to the time that I saw you Lose your mind and give up Everybody gets down on luck Every time you fall I try to pick you up But I need reciprocation You got what I need to Get through the night But can you be my rock Slippin can you pull me up I just want to be your girl and not your mom Is that so wrong I gotta take some time to grow But I don t wanna let you go How did we get too comfortable I gotta take some time to grow But without you I m miserable I think I got too comfortable,love
537,giveon,all to me,Ooh ooh ooh Wait If this what you want baby okay Okay yeah You don t say Say what you want and now it s too late Cause you re right outside let you up Lay you down it s just us He lost your touch all to me all to me Oh he still don t make you feel beautiful I know but I do just know I got you He still don t even give you enough It s true in my room I ain t gon stop you Oh he still don t make you feel beautiful I know but I do just know I got you He still don t even give you enough It s true in my room I ain t gon stop you Wait If this what you want baby okay He give you his all but you have no patience You made the call so I ain t complainin Back on your way Wait oh oh oh you can t do it anymore I understand just wherе he went wrong So I got your hands wherе they don t belong I do what he can t so now you re,love
538,giveon,world we created,Feelin comfortable right here where you are Sun all on your skin and I m watchin it Light up every part of me every part of me We ve been hidin Layin by your side as you wakin up Losin track of time as our feelings touched We fall deep into the bed we become the threads Intertwinin I just wanna stay in the world we created I just wanna sink in the plans that we makin When I leave I m not lookin for a replacement for what I got I need you to trust and believe when I say this Ain t nothing or nobody that s ever gonna break us Not lookin for situations I ain t forgot Tell me why you always overthinkin Not like me to switch up like the seasons No I haven t had a change of feelings You stay in the back of my mind Everything I do is for tomorrow Runnin but I ll never let your hand go No more second guessin cause we re so close Even on the hardest nights,love
539,daniel caesar,streetcar,Let me know Do I still got time to grow Things ain t always set in stone That be known let me know Seems like street lights glowing happen to be Just like moments passing in front of me So I hopped in the cab and I paid my fare See I know my destination I m just not there All these street lights glowing happen to be Just like moments passing in front of me So I hopped in the cab and I paid my fare See I know my destination I m just not there In these streets In these streets I m just not there in these streets I m just not there Life just ain t fair Seems like street lights glowing happen to be Just like moments passing in front of me So I hopped in the cab and I paid my fare See I know my destination I m just not there All these street lights glowing happen to be Just like moments passing in front of me So I hopped in the cab and I paid my fare See I know my destination I m just not there,love
540,sonder,nobody but you,I ve heard it all Our conversations got me feelin I m the fool Like I should ve listened when they said that you Would treat me like you did oh yeah Said I did it all Situation makes me feel I m not a man at all Swore I d be there swore that I d catch your fall I guess I couldn t handle it no And I know you probably thinkin I ain t worth shit But I d never want anyone to bring you any harm And I d take it all back just to have you in my arms And I know for a fact who we were ain t who we are We are Don t think you cared about me Oh girl I care about you But you don t care bout nobody Nobody but you Don t think you cared about me Oh girl I carе about you But you don t care bout nobody Nobody but you,love
541,grentperez,cherry wine,Why you standing all by yourself Those shoes were made for dancing with someone else Why don t we move over to that empty space I ll bet you 20 bucks I ll put a smile on your face I know a place where we can Dance the night away Baby we can try to Make the world spin slower We can take our time And get to know each other over cherry wine Well it s too soon to give up on tonight I haven t had the chance to show you my moves and I I think you d like to see why they would call me Mr Dynamite I could show while we dance the night away Baby we can try to Make the world spin slower We can take our time And get to know each other over cherry wine,love
542,robbie williams,angels,I sit and wait Does an angel contemplate my fate And do they know the places where we go When we re grey and old Cause I ve been told That salvation lets their wings unfold So when I m lying in my bed Thoughts running through my head And I feel that love is dead I m lovin angels instead And through it all She offers me protection A lot of love and affection Whether I m right or wrong And down the waterfall Wherever it may take me I know that life won t break me When I come to call She won t forsake me I m lovin angels instead When I m feeling weak And my pain walks down a one way street I look above And I know I ll always be blessed with love And as the feeling grows She breathes flesh to my bones And when love is dead I m lovin angels instead,love
543,scorpions,still loving you,Time it needs time To win back your love again I will be there I will be there Love only love Can bring back your love someday I will be there I will be there I ll fight babe I ll fight To win back your love again I will be there I will be there Love only love Can break down the wall someday I will be there I will be there If we d go again All the way from the start I would try to change The things that killed our love Your pride has built a wall so strong That I can t get through Is there really no chance To start once again I m still loving you,love
544,lita ford,close my eyes forever,Baby I get so scared inside and I don t really understand Is it love that s on my mind or is it fantasy Heaven is in the palm of my hand and it s waiting here for you What am I supposed to do with a childhood tragedy If I close my eyes forever Will it all remain unchanged If I close my eyes forever Will it all remain the same Sometimes it s hard to hold on so hard to hold on to my dreams It isn t always what it seems when you re face to face with me You re like a dagger you stick me in the heart And taste the blood from my blade And when we sleep would you shelter me in Your warm and darkened grave If I close my eyes forever Will it all remain unchanged If I close my eyes forever Will it all remain the same,love
545,alannah myles,black velvet,Mississippi in the middle of a dry spell Jimmy Rogers on the Victrola up high Mama s dancin with baby on her shoulder The sun is settin like molasses in the sky The boy could sing Knew how to move everything Always wanting more He d leave you longing for Black velvet And that little boy s smile Black velvet With that slow southern style A new religion that ll bring ya to your knees Black velvet if you please Up in Memphis The music s like a heatwave White lightning Bound to drive you wild Mama s baby s in the heart of every schoolgirl Love Me Tender leaves em cryin in the aisle,love
546,toto,africa,I hear the drums echoing tonight But she hears only whispers of some quiet conversation She s coming in 12 30 flight Her moonlit wings reflect the stars that guide me towards salvation I stopped an old man along the way Hoping to find some old forgotten words or ancient melodies He turned to me as if to say Hurry boy it s waiting there for you It s gonna take the lot to drag me away from you There s nothing that a hundred men or more could ever do I bless the rains down in Africa Gonna take some time to do the things we never had The wild dogs cry out in the night As they grow restless longing for some solitary company I know that I must do what s right As sure as Kilimanjaro rises like Olympus above the Serengeti I seek to cure what s deep inside Frightened of this thing that I ve become It s gonna take the lot to drag me away from you There s nothing that a hundred men or more could ever do I bless the rains down in Africa Gonna take some time to do the things we never had,love
547,george michael,careless whisper,Time can never mend The careless whispers Of a good friend To the heart and mind Ignorance is kind There s no comfort in the truth Pain is all that you ll find Should ve known better yeah I feel so unsure As I take your hand And lead you to the dance floor As the music dies Something in your eyes Calls to mind a silver screen And all its sad goodbyes I m never gonna dance again Guilty feet have got no rhythm Though it s easy to pretend I know you re not a fool Should ve known better than to cheat a friend And waste a chance that I ve been given So I m never gonna dance again The way I danced with you,love
548,europe,carrie,When lights go down I see no reason For you to cry We ve been through this before In every time In every season God knows I ve tried So please don t ask for more Can t you see it in my eyes That this might be our last goodbye Carrie Carrie Things they change my friend whoa Carrie Carrie Maybe we ll meet again Somewhere again I read your mind With no intentions Of being unkind I wish I could explain It all takes time A whole lot of patience If it s a crime How come I feel no pain,love
549,scorpions,wind of change,I follow the Moskva Down to Gorky Park Listening to the wind of change An August summer night Soldiers passing by Listening to the wind of change The world is closing in And did you ever think That we could be so close Like brothers The future s in the air I can feel it everywhere Blowing with the wind of change Take me to the magic of the moment On a glory night Where the children of tomorrow dream away In the wind of change,love
550,bazzi,i got you,Don t trip I got you I put ice on your wrist cause I want to yeah You re number one and I m cool with two If it s next to you No no no no no No no no I fuck with that Wait hold up Dance like it s hopscotch Got these bitches hot hot Everything they not not Rock and I m leanin High for no reason Pretty ooh she gleamin I m Le Bron you miss Savannah Get you gift just like I m Santa Number one like I m Havana She my little Tiny Dancer oh But she only do that for me yeah,love
551,thomas reid,butterflies,What will you do Will you find someone new Will he give you those butterflies And what s on your mind Is it how he met your eyes Or is it me maybe some of the time And now I m running I m running I m running I m running I m running away Oh I have nothing I ve nothing I ve nothing I ve nothing I ve nothing to say And now I m running I m running I m running I m running I m running away Oh I have nothing I ve nothing I ve nothing I ve nothing I ve nothing to say Running away I m running away Nothing to say nothing to say Running away I m running away Nothing to say got nothing to say What will you do Will you find someone new Will he give you those butterflies And what s on your mind Is it how he met your eyes Or is it me maybe some of thе time,love
552,kai stevens,good for me,You say you re too complicated for me That we re just a match made in hell You tell me your problems will just bore me And I m way too into myself I know that we re not perfect But somethings working Yeah something clicks Sometimes you drive me mad but They say bad habits Are hard to kick Oh If you ain t good for me Tell me why you making my heart beat If you ain t good for me I don t know why I feel incomplete When I m not with you It just can t be true If you ain t good for me Maybe I don t want what s good for me You say that you know you don t deserve me That it s just a matter of time Before you gon mess it up and hurt me But it s more painful to not try,love
553,olivia rodrigo,drivers license,I got my driver s license last week Just like we always talked about Cause you were so excited for me To finally drive up to your house But today I drove through the suburbs Crying cause you weren t around And you re probably with that blonde girl Who always made me doubt She s so much older than me She s everything I m insecure about Yeah today I drove through the suburbs Cause how could I ever love someone else And I know we weren t perfect But I ve never felt this way for no one And I just can t imagine How you could be so okay now that I m gone Guess you didn t mean what you wrote in that song about me Cause you said forever now I drive alone past your street And all my friends are tired Of hearing how much I miss you but I kinda feel sorry for them Cause they ll never know you the way that I do Yeah today I drove through the suburbs And pictured I was driving home to you,love
554,ali gatie,sunrise,Let s drive around til the sun comes down Til the moon lights up the sky Drivin round til nobody s around And it s just you and I Let s go where we wanna go Not worry bout anyone s plans Let s do what we wanna do Cause ain t nobody gonna understand It seems like life s not in our favor It seems like we got obstacles So let s climb over them together Stick with me I ll stick with you Let s drive around til the sun comes down Til the moon lights up the sky Drivin round til nobody s around And it s just you and I Let s go where we wanna go Not worry bout anyone s plans Let s do what we wanna do Cause ain t nobody gonna understand,love
555,thomas reid,spare change,I could be the one you hold onto Not just the spare change you keep in your coat I don t wanna see you Know you re not same now Wonder where you went to I ve been falling down Ever since you left my life I ve been astray Thrown away like spare change Maybe I need saving And if we ever cross paths Will you walk on by Last time I met your eyes they just looked away All the nights that we would hide away All the life we built now in the grave Hoping that it wasn t all for nothing I could bе the one you hold onto Not just thе spare change you keep in your coat I could love you like no one else would At least that s what I d say as I watch you go,love
556,keshi,right here,I think some words are overdue Could we just do it over Can we just talk it out like friends Because I need your shoulder I know we ended on the wrong terms But I said we re past it So why you textin me with questions You don t gotta ask me Like I know it s random how you been Do you remember bout this band you said you listened to When we were younger when we were softer When we were all about each other Hope life is treating you better better better Girl what s with that Yo cut the act Cause I don t got time for laughs No I do not want the past But if you are ever in need And God has you down on your knees And you do not know who to be Then go on and come home to me Because I m here If you need me I ll be here Right here Said I m here If you need me I ll be here Right here Oh,love
557,imfinenow,be with you,Nothing ever seems to be working No matter how long I keep on trying All I know is that you make me feel better You re the only one I believe I just wanna Be with you Be with you Be with you Forever Forever I just wanna Be with you Be with you Be with you Forever Forever I know I could never be lonely No matter how lies try to convince me All I wanna do is walk alongside you You re the only one I believе I just wanna Be with you Be with you Be with you Forеver Forever I just wanna Be with you Be with you Be with you Forever Forever,love
558,noah kahan,hurt somebody,Taking it slowly I m afraid to be lonely Nobody told me It s harder than I thought to tell the truth It s gonna leave you in pieces All alone with your demons And I know that we need this But I ve been too afraid to follow through Hold me close and I won t leave Cause it hurts when you hurt somebody So much to say but I don t speak And I hate that I let you stop me Cause it hurts when you hurt somebody Don t know where the time went Stuck in the wrong mindset I let the rules bend When I know that all along they re made to break You got me searching for reasons To keep me from leaving At night I have trouble breathing I give myself another chance to stay,love
559,john legend,conversations in the dark,Talk let s have conversations in the dark World is sleeping I m awake with you with you Watch movies that we ve both already seen I ain t even looking at the screen It s true I got my eyes on you And you say that you re not worthy You get hung up on your flaws Well in my eyes you are perfect as you are I won t ever try to change you change you I will always want the same you same you Swear on everything I pray to That I won t break your heart I ll be there when you get lonely lonely Keep the secrets that you told me told me And your love is all you owe me And I won t break your heart On Sunday mornings we sleep in til noon Oh I could sleep forever next to you next to you And we we got places we both gotta be But there ain t nothing I would rather do Than blow off all my plans for you,love
560,benee,glitter,Everyone else has left now I bet that this got you stressed out Wonderin what can we do now Maybe let it burn out Where I can t feel my face Mm minds twisted in weird ways Wonderin what can we do now Maybe let it burn out Glitter s sparklin on your heart now darling Won t you stay I m here wonderin what to say You re putting me away now I know it s getting late now baby Maybe you should stay here with me Let s just make it our own party Stick together like glitter glitter glitter glitter Race against the sunlight Wanna have a long night Night mysteries night mysteries Under spotlight don t let me out of your sight Two energies two energies,love
561,jeremy zucker,supercuts,I thought I would be good by now I d have it figured all out We d skip the scenic route And oh well At least I never lied Still I m always the bad guy So much for being nice Cause I don t wanna be someone who makes you happy Then lets you down we ll both feel crappy I ll hate your friends when this shit ends Well alright And I don t wanna make your mama cry at dinner And see her at the mall next winter At Supercuts she hates my guts Well alright Well I don t Don t need a hand to hold Don t need you to console me It s honestly getting old Well I ve thought There s so many places we could go Well maybe I m better off at home Maybe I m better on my own,love
562,jordan mitchell,arizona,I ve been out in Arizona I ve been distant I ve been looking for the seritonin That s been missing since I was 20 something Always hated the cold feeling jaded and old Baby you just say the words and I ll be on a one way Sick of having breakdowns leave me on the runway Running for nowhere And maybe after corona we ll meet in Sedona and say Is it obvious that I Wanted more than just tonight Needed more than just goodbye But I guess it s okay if I m not alright I m too old to get wasted Strung out on the weekends Burning my lungs up Been high this whole season Been high this whole year cause I can t take you leaving Don t leavе Arizona If so you re my reason to go,love
563,rolipso,losing me,One day you re here The next nowhere Promise you care Then dig a hole when you get scared The ones who stay You push away Stand in your grave Don t understand when feelings change You have me bending over backwards I m falling on my knees I m running back and forth for hours To give you what you need Since you ll be buried with your words You re lo lo losing me Lo lo losing me Lo lo losing me You re on your own We ve turned to bones A masked cologne Another rose lеft on your stone Wish you the best In my bеst dress But once you learn to grieve the dead You leave em there in peace to rest,love
564,peach tree rascals,mariposa,I can t wait for you to come my way I ve been far away But I ll keep running Just to find a way to you till then I ve been running from it Tired of running from it Scared of feeling something Now I m stuck here tryna get up outta this hole I tried to be strong I tried to make it work but I ve been feeling too numb Skies are beating on me Why d you leave me lonely Feeling Whitney Stoney Now I m stuck here wondering where I ever went wrong How could I be strong I m fighting for your love I can t wait for you to come my way I ve been far away But I ll keep running Just to find a way to you till then,love
565,quinn xcii,flare guns,Focus on you in the light it helps me fill my emotions Why are we at such a distance Find ourselves so out of frame This love stays calm in the night yeah help me heal and reopen Why are we drifting away from everything we wanted to save I told you I d be down forever Loving you is danger but it don t feel wrong It s old news I should look for better Falling back to strangers leave me hanging on Flare guns go off in my head saying not to call you this late Still I dial those numbers every time Why do I replay those messages that you left at the tone last May Slowly wishing you were never mine Your face became all I know I d try to picture another Why are we frayed at the edge it s making me feel I m to blame I wanna know what s the deal Where have you been and what do you think of me Is there a new girl silently screaming your name I told you I d be down forever Loving you is danger but it don t feel wrong It s old news I should look for better Falling back to strangers leave me hanging on You leave me hanging on,love
566,surfaces,take it easy,Oh when you need a hand I will be your friend Oh when you need a hand Oh I will be your friend Take it easy yeah Make yourself right at home hm hm Oh oh oh oh oh And never leave me yeah You don t have to feel alone hm hm Yeah oh oh I will slip off your shoes and find your feet Let everything come naturally I ll loosen the grip of what you need Home is a state of mind you ll see I know you ve been searchin for better days So somehow I hope you hear me say Take it easy yeah Make yourself right at home hm hm Oh oh oh oh oh And never leave me yeah You don t have to feel alone hm hm Yeah oh oh,love
567,shuja,you saved me,Up the hill When you say you love me Baby you re my thrill My golden glory When you stay right here Can you stay right here With me With me Oh up all night Telling all those stories When I m low you re my height You take my worries And I m not capsized yet Not capsized yet Safe me Safe me Oh you saved me mmh You saved me mmh And you saved me my love You saved me my love And you saved me my love You savеd me my love,love
568,post malone,circles,Oh oh oh Oh oh oh Oh oh oh oh oh We couldn t turn around til we were upside down I ll be the bad guy now but know I ain t too proud I couldn t be there even when I tried You don t believe it we do this every time Seasons change and our love went cold Feed the flame cause we can t let go Run away but we re running in circles Run away run away I dare you to do something I m waiting on you again so I don t take the blame Run away but we re running in circles Run away run away run away Let go I got a feeling that it s time to let go I said so I knew that this was doomed from the get go You thought that it was special special But it was just the sex though the sex though And I still hear the echoes I got a feeling that it s time to let it go let it go,love
569,keshi,skeletons,Stressed out Feelin lost and I don t know what to do now What I chose ain t really gonna work out Fallin six feet underneath the floor now Think I m gonna tap out Feel bad go to bed Wake up even worse yeah So sad in my head Feelin like a curse I need medicine medicine medicine All my skeletons out for the taking Yeah I don t even know if I ma make it I m afraid of myself and I hate it All my skeletons out for the taking Somebody take em I wanna run away The day to day is taking its toll on me And I m tearin at the seams Throw it all away Give a fuck about what they say I gotta disagree This ain t really fun for me,love
570,james arthur,falling like the stars,I swear to God when I come home I m gonna hold you so close I swear to God when I come home I ll never let go Like a river I flow to the ocean I know You pull me close guiding me home And I need you to know that we re Fallin so fast we re fallin like the stars fallin in love And I m not scared to say those words With you I m safe we re fallin like the stars we re fallin in love I swear to God I can see Four kids and no sleep We ll have one on each knee you and me hmm And when they ve grown up You re still the girl in the club When I held your hair up cause you had too much And I need you to know that we re Fallin so fast we re fallin like the stars fallin in love And I m not scared to say those words With you I m safe we re fallin like the stars fallin in love,love
